_id,type,count
Ak Akarat,International TV Shows,2
Akaash Singh,TV Comedies,1
Akah Nnani,International Movies,1
Akanksha Puri,Dramas,1
Akanksha Thakur,International TV Shows,1
Akara Amarttayakul,Horror Movies,1
Akarat Nimitchai,International TV Shows,2
Akari Kito,Anime Series,1
Akarin Akaranitimaytharatt,International TV Shows,2
Akarsh Khurana,TV Comedies,1
Akash Gopal,Dramas,1
Akash Khurana,Dramas,3
Akash Thosar,Dramas,2
Akemi Kanda,Teen TV Shows,1
Akeno Watanabe,International TV Shows,2
Akhilendra Mishra,International Movies,5
Aki Avni,TV Action & Adventure,1
Aki Kanada,Kids' TV,1
Aki Toyosaki,Anime Features,5
Akiko Iwase,Romantic Movies,1
Akim Mogaji,Dramas,1
Akin Lewis,Dramas,2
Akin Omotoso,Romantic Movies,1
Akina Abe,Anime Series,1
Akio Otsuka,Anime Features,4
Akio Suyama,International TV Shows,1
Akira Ishida,International TV Shows,3
Akira Kamiya,Anime Series,1
Akira Madden,Kids' TV,1
Akit Tay,International TV Shows,1
Akito Kiriyama,TV Action & Adventure,1
Akiva Schaffer,Comedies,2
Akiya Henry,British TV Shows,1
Akiyoshi Nakao,TV Dramas,2
Akon,Action & Adventure,1
Akosua Busia,Dramas,1
Akram Hosny,Comedies,1
Aksel Bonfil,International Movies,2
Aksel Hennie,Action & Adventure,2
Aksel Ustun,TV Horror,1
Aksha Pardhasany,International TV Shows,1
Akshat Verma,International Movies,1
Akshay Kumar,International Movies,25
Akshay Oberoi,International Movies,5
Akshay Pendse,Dramas,1
Akshay Sachdev,Independent Movies,1
Akshaye Khanna,International Movies,7
Al Mukadam,Kids' TV,1
Al Pacino,Dramas,5
Al Shearer,Comedies,2
Al Tantay,International Movies,5
Al Vicente,Horror Movies,1
Al Whiting,Sports Movies,1
Alaa Morsy,International Movies,2
Alaa Seif,Documentaries,1
Alaa Shaker,TV Dramas,1
Alaa Zenhom,Dramas,2
Alain Blazquez,TV Dramas,1
Alain Hernández,International Movies,6
Alain Moussi,Action & Adventure,2
Alain Prost,International Movies,1
Alain Saadeh,International Movies,1
Alaina Huffman,Thrillers,1
Alan Alda,Dramas,2
Alan Arkin,Comedies,1
Alan Bates,International Movies,1
Alan C. Lim,Kids' TV,1
Alan Cumming,Comedies,4
Alan Dale,TV Dramas,3
Alan David Lee,Kids' TV,1
Alan Devlin,Romantic Movies,1
Alan Friedman,International Movies,1
Alan Hopgood,Sci-Fi & Fantasy,1
Alan Kuo,International TV Shows,2
Alan Lee,International TV Shows,1
Alan Mandell,Comedies,1
Alan Marriott,Children & Family Movies,3
Alan McGee,Music & Musicals,1
Alan Ng,International Movies,1
Alan Oppenheimer,Independent Movies,1
Alan Palmer,Kids' TV,1
Alan Powell,Dramas,2
Alan Rickman,Dramas,2
Alan Ritchson,Comedies,1
Alan Ruck,Comedies,2
Alan Sabbagh,International Movies,2
Alan Saldaña,Stand-Up Comedy,1
Alan Tan,International Movies,1
Alan Tern,TV Dramas,1
Alan Thicke,Comedies,2
Alan Titchmarsh,British TV Shows,1
Alan Trinca,Kids' TV,1
Alan Tudyk,Comedies,2
Alan Van Sprang,TV Dramas,1
Alan Wilder,Cult Movies,1
Alan Young,Sci-Fi & Fantasy,1
Alana Haim,Sports Movies,1
Alana Husband,TV Dramas,1
Alanah Gilbert,Sports Movies,1
Alankrita Sahai,Romantic Movies,1
Alanna Masterson,TV Action & Adventure,1
Alanna Ubach,TV Comedies,1
Alannah Ong,Comedies,1
Alastair Forbes,Romantic Movies,1
Alastair Mackenzie,Dramas,2
Alba August,TV Dramas,1
Alba Flores,International TV Shows,2
Alba Galocha,International Movies,1
Alba Ribas,Dramas,1
Alba Rohrwacher,Dramas,1
Alban Ivanov,TV Comedies,1
Alban Lenoir,TV Horror,1
Albee Huang,Romantic TV Shows,2
Albert Baró,TV Dramas,1
Albert Brooks,Dramas,3
Albert Evans,Documentaries,1
Albert Halim,International Movies,1
Albert Hammond Jr.,Independent Movies,1
Albert Kong,International Movies,1
Albert Mora,Dramas,1
Albert Pujols,Sports Movies,1
Albert Pérez,International Movies,1
Albert Ribalta,International Movies,1
Albert Rudbeck Lindhardt,International TV Shows,1
Alberto Ajaka,Spanish-Language TV Shows,2
Alberto Ammann,Crime TV Shows,2
Alberto Cardeño,Spanish-Language TV Shows,2
Alberto Collado,Spanish-Language TV Shows,1
Alberto Escobal,Kids' TV,1
Alberto Estrella,International Movies,1
Alberto Guerra,International TV Shows,2
Alberto Jiménez,Crime TV Shows,2
Alberto López,International Movies,1
Alberto Mateo,Crime TV Shows,1
Alberto Saavedra,International Movies,1
Alberto Velasco,International TV Shows,1
Albrecht Schuch,Crime TV Shows,1
Albrecht Weimer,Dramas,1
Aldan Shaikh,Dramas,1
Alden Ehrenreich,Children & Family Movies,2
Alden Tab,Thrillers,1
Aldis Hodge,TV Dramas,1
Aldo Escalante,Spanish-Language TV Shows,2
Aldo Gallardo,TV Comedies,1
Aldo Tansani,Children & Family Movies,2
Alec Baldwin,Dramas,3
Alec Guinness,Romantic Movies,1
Alec Mapa,Comedies,1
Alec Secareanu,Dramas,1
Alejandra Ambrosi,International Movies,1
Alejandra Flechner,International Movies,1
Alejandra García,Crime TV Shows,1
Alejandra Onieva,Spanish-Language TV Shows,1
Alejandra Procuna,International TV Shows,1
Alejandra Reynoso,TV Thrillers,1
Alejandra Sandoval,International TV Shows,1
Alejandra Urdiaín,International Movies,1
Alejandra Yañez,Dramas,1
Alejandro Agresti,Comedies,1
Alejandro Aguilar,Spanish-Language TV Shows,1
Alejandro Awada,Horror Movies,1
Alejandro Buitrago,TV Action & Adventure,1
Alejandro Calva,Dramas,1
Alejandro Camacho,Spanish-Language TV Shows,1
Alejandro Castiglioni,Independent Movies,1
Alejandro Durán,Crime TV Shows,1
Alejandro Flores,Comedies,1
Alejandro Goic,Dramas,2
Alejandro Martínez,Crime TV Shows,1
Alejandro Nones,International TV Shows,1
Alejandro Oliva,International Movies,1
Alejandro Otero,International TV Shows,1
Alejandro Paker,Comedies,1
Alejandro Patiño,Independent Movies,1
Alejandro Pous,Dramas,1
Alejandro Puente,International TV Shows,1
Alejandro Riaño,Stand-Up Comedy,1
Alejandro Sanz,Music & Musicals,1
Alejandro Sieveking,TV Dramas,1
Alejandro Speitzer,Spanish-Language TV Shows,2
Alejandro Suárez,Dramas,1
Alejandro Trejo,International TV Shows,1
Alejandro Urdapilleta,Sci-Fi & Fantasy,1
Alejandro Vera,International Movies,1
Alejandro Villeli,Kids' TV,1
Alejandro de Hoyos Parera,Spanish-Language TV Shows,1
Alejandro Ávila,International TV Shows,1
Aleks Paunovic,Comedies,1
Aleksa Palladino,TV Dramas,1
Aleksandar Cvetković,International TV Shows,1
Aleksandar Jovanovic,Sci-Fi & Fantasy,1
Aleksandar Seksan,International Movies,1
Aleksander Bardini,Dramas,1
Aleksander Bednarz,International Movies,1
Aleksandr Baluev,Action & Adventure,1
Aleksandr Dyachenko,International Movies,1
Aleksandr Kuznetsov,TV Dramas,1
Aleksandr Pikalov,TV Comedies,1
Aleksandr Ustyugov,TV Dramas,1
Aleksandra Grabowska,International Movies,1
Aleksandra Popławska,TV Dramas,1
Aleksey Gorbunov,Crime TV Shows,1
Aleksey Vesyolkin,TV Dramas,1
Aleksey Zorin,International TV Shows,1
Alen Liverić,TV Dramas,1
Alencier Ley Lopez,Dramas,3
Alese Johnson,Crime TV Shows,1
Alesha Hariz,International TV Shows,1
Alessandra Denegri,Comedies,1
Alessandra Mastronardi,TV Comedies,1
Alessandra Negrini,TV Comedies,1
Alessandra Oriti Niosi,Dramas,1
Alessandra Rosaldo,Comedies,1
Alessandra Torresani,Comedies,1
Alessandra de Rossi,International Movies,2
Alessandro Borghi,Dramas,2
